,0,1,2,3,4,5,6,7,8,9,10
143, Oman,1145.86,1145.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144, Pakistan,1853255.3499999999,1787332.28,65824.94,98.13,0.0,0.0,0.0,0.0,0.0,0.0
145, Palau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146, Panama,6698.0,6368.59,0.48,328.93,0.0,0.0,0.0,0.0,0.0,0.0
147, Papua New Guinea,31225.120000000003,15191.96,14088.54,1862.9,11.86,45.58,0.0,0.0,0.0,24.28
148, Paraguay,9044.51,8067.5,0.0,977.01,0.0,0.0,0.0,0.0,0.0,0.0
149, Peru,66570.40000000001,62871.48,3.03,3695.89,0.0,0.0,0.0,0.0,0.0,0.0
150, Philippines,722527.48,705445.95,11041.86,3964.5,0.0,0.0,0.0,2044.11,0.0,31.06
151, Poland,15379.91,15379.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152, Portugal,4554.45,4554.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153, Puerto Rico,565.1700000000001,462.36,0.0,102.81,0.0,0.0,0.0,0.0,0.0,0.0
154, Qatar,414.89,412.12,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0
155, Republic of Korea,116933.5,116933.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156, Republic of Moldova,6674.19,6674.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157, Romania,33148.18,33148.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158, Russia,359170.26,359170.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159, Rwanda,150854.17,108750.89,13478.0,16056.04,7285.84,5158.76,124.64,0.0,0.0,0.0
160, Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161, Saint Lucia,287.5,167.05,0.0,120.45,0.0,0.0,0.0,0.0,0.0,0.0
162, Saint Vincent and the Grenadines,110.57,88.08,0.0,22.49,0.0,0.0,0.0,0.0,0.0,0.0
163, Samoa,142.3,139.3,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.2
164, San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
