"","2010","","","","","","","","","","","2015","","","","","","","","",""
"Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total","Country","TB","Malaria ","HIV","RoundWorm","HookWorm","WhipWorm","Schistosomiasis","Onchocerciasis","LF","Total"
"Tunisia","25,140.54","2.71","32,245.39","  32.80 ","  0.22 ","  0.55 ","  576.62 ","","  -   ","57,998.82","Tunisia","18,960.29","0.00","4,576.02","29.17","0.21","0.52","621.88","0.00","0.00","24,188.11"
"Turkey","221,876.78","70.70","6,838.71","  160.62 ","  1.49 ","  17.85 ","  446.83 ","","  -   ","229,412.98","Turkey","57,834.05","348.20","9,611.37","123.95","0.82","18.09","497.12","0.00","0.00","68,433.61"
"Turkmenistan","67,131.84","1.59","22,893.37","  23.92 ","  0.11 ","  -   ","  -   ","","  -   ","90,050.82","Turkmenistan","30,913.74","0.14","17,007.76","17.31","0.10","0.00","0.00","0.00","0.00","47,939.05"
"Turks and Caicos Islands","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Turks and Caicos Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Tuvalu","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Tuvalu","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Uganda","1,509,879.98","5,799,033.48","3,164,663.82","  11,787.13 ","  7,734.53 ","  145.51 ","  124,976.83 ","","  19,248.43 ","10,637,469.71","Uganda","700,850.36","5,479,225.00","2,354,903.83","9,611.41","6,139.55","120.84","101,111.28","19,585.91","14,365.34","8,685,913.51"
"Ukraine","570,349.50","195.69","1,061,908.94","  -   ","  -   ","  -   ","  -   ","","  -   ","1,632,454.13","Ukraine","283,075.35","0.00","383,476.42","0.00","0.00","0.00","0.00","0.00","0.00","666,551.77"
"United Arab Emirates","5,144.08","12.71","12,240.43","  0.70 ","  0.08 ","  -   ","  -   ","","  -   ","17,398.00","United Arab Emirates","5,758.28","105.18","13,308.72","0.67","0.10","0.00","0.00","0.00","0.00","19,172.95"
"United Kingdom of Great Britain and Northern Ireland","38,394.58","17.93","22,292.47","  -   ","  -   ","  -   ","  -   ","","  -   ","60,704.98","United Kingdom of Great Britain and Northern Ireland","15,051.74","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15,051.74"
"United States","81,484.25","817.95","591,229.51","  -   ","  -   ","  -   ","  -   ","","  -   ","673,531.70","United States","38,207.37","0.00","363,727.97","0.00","0.00","0.00","0.00","0.00","0.00","401,935.34"
"Uruguay","5,257.25","0.93","9,527.96","  0.76 ","  -   ","  -   ","  -   ","","  -   ","14,786.90","Uruguay","2,296.09","0.00","7,491.57","0.54","0.00","0.00","0.00","0.00","0.00","9,788.20"
"US Virgin Islands","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","US Virgin Islands","55.45","0.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","55.97"
"Uzbekistan","296,254.77","43.93","79,476.60","  8.79 ","  0.36 ","  -   ","  -   ","","  -   ","375,784.44","Uzbekistan","160,599.67","0.00","26,321.98","6.60","0.35","0.00","0.00","0.00","0.00","186,928.60"
"Vanuatu","4,477.70","501.18","0.00","  126.47 ","  143.35 ","  17.23 ","  -   ","","  216.23 ","5,482.17","Vanuatu","1,376.22","880.28","681.44","114.51","145.63","18.64","0.00","0.00","52.20","3,268.92"
"Venezuela","67,611.53","1,049.59","280,952.26","  3,180.81 ","  1,539.64 ","  3,960.83 ","  4,927.46 ","","  -   ","363,222.12","Venezuela","36,496.45","1,622.26","103,511.80","4,530.96","1,384.02","4,506.46","5,171.97","615.78","0.00","157,839.72"
"Viet Nam","985,770.75","64,727.70","663,467.68","  5,394.90 ","  6,634.97 ","  795.59 ","  -   ","","  1,389.13 ","1,728,180.72","Viet Nam","809,911.79","51,334.46","0.00","3,066.25","2,976.92","456.56","0.00","0.00","1,481.12","869,227.09"
"Wallis and Futuna Islands","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","Wallis and Futuna Islands","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"West Bank and Gaza Strip","0.00","0.00","0.00","  -   ","  -   ","  -   ","  -   ","","  -   ","0.00","West Bank and Gaza Strip","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Yemen","414,201.75","363,859.86","8,210.10","  1,807.64 ","  524.96 ","  19.01 ","  18,403.38 ","","  51.06 ","807,077.77","Yemen","134,865.00","31,746.78","8,216.06","1,875.16","557.05","20.88","8,098.30","0.00","46.81","185,426.04"
"Zambia","492,791.63","1,799,198.29","1,858,488.44","  5,028.77 ","  6,986.77 ","  21.46 ","  30,006.68 ","","  4,527.77 ","4,197,049.81","Zambia","304,662.45","730,546.52","2,097,664.61","3,274.95","7,724.20","24.50","29,474.61","0.00","4,762.20","3,178,134.04"
"Zimbabwe","618,767.66","289,111.44","2,480,195.97","  1,266.63 ","  5,424.55 ","  2,385.49 ","  26,083.21 ","","  58.98 ","3,423,293.92","Zimbabwe","523,639.79","110,730.46","2,715,981.85","851.92","5,924.16","2,663.08","16,945.54","0.00","67.51","3,376,804.30"
